しゅるい,島,くちばしの長さ(mm),くちばしの深さ(mm),ひれの長さ(mm),体重(g),せいべつ,年
アデリーペンギン,ドリーム島,37.0,16.9,185,3000,メス,2007
アデリーペンギン,ドリーム島,39.6,18.8,190,4600,オス,2007
アデリーペンギン,ドリーム島,41.1,19.0,182,3425,オス,2007
アデリーペンギン,ドリーム島,37.5,18.9,179,2975,,2007
アデリーペンギン,ドリーム島,36.0,17.9,190,3450,メス,2007
アデリーペンギン,ドリーム島,42.3,21.2,191,4150,オス,2007
アデリーペンギン,ビスコー島,39.6,17.7,186,3500,メス,2008
アデリーペンギン,ビスコー島,40.1,18.9,188,4300,オス,2008
アデリーペンギン,ビスコー島,35.0,17.9,190,3450,メス,2008
アデリーペンギン,ビスコー島,42.0,19.5,200,4050,オス,2008
アデリーペンギン,ビスコー島,34.5,18.1,187,2900,メス,2008
アデリーペンギン,ビスコー島,41.4,18.6,191,3700,オス,2008
アデリーペンギン,ビスコー島,39.0,17.5,186,3550,メス,2008
アデリーペンギン,ビスコー島,40.6,18.8,193,3800,オス,2008
アデリーペンギン,ビスコー島,36.5,16.6,181,2850,メス,2008
アデリーペンギン,ビスコー島,37.6,19.1,194,3750,オス,2008
アデリーペンギン,ビスコー島,35.7,16.9,185,3150,メス,2008
アデリーペンギン,ビスコー島,41.3,21.1,195,4400,オス,2008
アデリーペンギン,ビスコー島,37.6,17.0,185,3600,メス,2008
アデリーペンギン,ビスコー島,41.1,18.2,192,4050,オス,2008
アデリーペンギン,ビスコー島,36.4,17.1,184,2850,メス,2008
アデリーペンギン,ビスコー島,41.6,18.0,192,3950,オス,2008
アデリーペンギン,ビスコー島,35.5,16.2,195,3350,メス,2008
アデリーペンギン,ビスコー島,41.1,19.1,188,4100,オス,2008
アデリーペンギン,トーゲルセン島,35.9,16.6,190,3050,メス,2008
アデリーペンギン,トーゲルセン島,41.8,19.4,198,4450,オス,2008
アデリーペンギン,トーゲルセン島,33.5,19.0,190,3600,メス,2008
アデリーペンギン,トーゲルセン島,39.7,18.4,190,3900,オス,2008
アデリーペンギン,トーゲルセン島,39.6,17.2,196,3550,メス,2008
アデリーペンギン,トーゲルセン島,45.8,18.9,197,4150,オス,2008
アデリーペンギン,トーゲルセン島,35.5,17.5,190,3700,メス,2008
アデリーペンギン,トーゲルセン島,42.8,18.5,195,4250,オス,2008
アデリーペンギン,トーゲルセン島,40.9,16.8,191,3700,メス,2008
アデリーペンギン,トーゲルセン島,37.2,19.4,184,3900,オス,2008
アデリーペンギン,トーゲルセン島,36.2,16.1,187,3550,メス,2008
アデリーペンギン,トーゲルセン島,42.1,19.1,195,4000,オス,2008
アデリーペンギン,トーゲルセン島,34.6,17.2,189,3200,メス,2008
アデリーペンギン,トーゲルセン島,42.9,17.6,196,4700,オス,2008
アデリーペンギン,トーゲルセン島,36.7,18.8,187,3800,メス,2008
アデリーペンギン,トーゲルセン島,35.1,19.4,193,4200,オス,2008
アデリーペンギン,ドリーム島,37.3,17.8,191,3350,メス,2008
アデリーペンギン,ドリーム島,41.3,20.3,194,3550,オス,2008
アデリーペンギン,ドリーム島,36.3,19.5,190,3800,オス,2008
アデリーペンギン,ドリーム島,36.9,18.6,189,3500,メス,2008
アデリーペンギン,ドリーム島,38.3,19.2,189,3950,オス,2008
アデリーペンギン,ドリーム島,38.9,18.8,190,3600,メス,2008
アデリーペンギン,ドリーム島,35.7,18.0,202,3550,メス,2008
アデリーペンギン,ドリーム島,41.1,18.1,205,4300,オス,2008
アデリーペンギン,ドリーム島,34.0,17.1,185,3400,メス,2008
アデリーペンギン,ドリーム島,39.6,18.1,186,4450,オス,2008
アデリーペンギン,ドリーム島,36.2,17.3,187,3300,メス,2008
アデリーペンギン,ドリーム島,40.8,18.9,208,4300,オス,2008
アデリーペンギン,ドリーム島,38.1,18.6,190,3700,メス,2008
アデリーペンギン,ドリーム島,40.3,18.5,196,4350,オス,2008
アデリーペンギン,ドリーム島,33.1,16.1,178,2900,メス,2008
アデリーペンギン,ドリーム島,43.2,18.5,192,4100,オス,2008
アデリーペンギン,ビスコー島,35.0,17.9,192,3725,メス,2009
アデリーペンギン,ビスコー島,41.0,20.0,203,4725,オス,2009
アデリーペンギン,ビスコー島,37.7,16.0,183,3075,メス,2009
アデリーペンギン,ビスコー島,37.8,20.0,190,4250,オス,2009
アデリーペンギン,ビスコー島,37.9,18.6,193,2925,メス,2009
アデリーペンギン,ビスコー島,39.7,18.9,184,3550,オス,2009
アデリーペンギン,ビスコー島,38.6,17.2,199,3750,メス,2009
アデリーペンギン,ビスコー島,38.2,20.0,190,3900,オス,2009
アデリーペンギン,ビスコー島,38.1,17.0,181,3175,メス,2009
アデリーペンギン,ビスコー島,43.2,19.0,197,4775,オス,2009
アデリーペンギン,ビスコー島,38.1,16.5,198,3825,メス,2009
アデリーペンギン,ビスコー島,45.6,20.3,191,4600,オス,2009
アデリーペンギン,ビスコー島,39.7,17.7,193,3200,メス,2009
アデリーペンギン,ビスコー島,42.2,19.5,197,4275,オス,2009
アデリーペンギン,ビスコー島,39.6,20.7,191,3900,メス,2009
アデリーペンギン,ビスコー島,42.7,18.3,196,4075,オス,2009
アデリーペンギン,トーゲルセン島,38.6,17.0,188,2900,メス,2009
アデリーペンギン,トーゲルセン島,37.3,20.5,199,3775,オス,2009
アデリーペンギン,トーゲルセン島,35.7,17.0,189,3350,メス,2009
アデリーペンギン,トーゲルセン島,41.1,18.6,189,3325,オス,2009
アデリーペンギン,トーゲルセン島,36.2,17.2,187,3150,メス,2009
アデリーペンギン,トーゲルセン島,37.7,19.8,198,3500,オス,2009
アデリーペンギン,トーゲルセン島,40.2,17.0,176,3450,メス,2009
アデリーペンギン,トーゲルセン島,41.4,18.5,202,3875,オス,2009
アデリーペンギン,トーゲルセン島,35.2,15.9,186,3050,メス,2009
アデリーペンギン,トーゲルセン島,40.6,19.0,199,4000,オス,2009
アデリーペンギン,トーゲルセン島,38.8,17.6,191,3275,メス,2009
アデリーペンギン,トーゲルセン島,41.5,18.3,195,4300,オス,2009
アデリーペンギン,トーゲルセン島,39.0,17.1,191,3050,メス,2009
アデリーペンギン,トーゲルセン島,44.1,18.0,210,4000,オス,2009
アデリーペンギン,トーゲルセン島,38.5,17.9,190,3325,メス,2009
アデリーペンギン,トーゲルセン島,43.1,19.2,197,3500,オス,2009
アデリーペンギン,ドリーム島,36.8,18.5,193,3500,メス,2009
アデリーペンギン,ドリーム島,37.5,18.5,199,4475,オス,2009
アデリーペンギン,ドリーム島,38.1,17.6,187,3425,メス,2009
アデリーペンギン,ドリーム島,41.1,17.5,190,3900,オス,2009
アデリーペンギン,ドリーム島,35.6,17.5,191,3175,メス,2009
アデリーペンギン,ドリーム島,40.2,20.1,200,3975,オス,2009
アデリーペンギン,ドリーム島,37.0,16.5,185,3400,メス,2009
アデリーペンギン,ドリーム島,39.7,17.9,193,4250,オス,2009
アデリーペンギン,ドリーム島,40.2,17.1,193,3400,メス,2009
アデリーペンギン,ドリーム島,40.6,17.2,187,3475,オス,2009
アデリーペンギン,ドリーム島,32.1,15.5,188,3050,メス,2009
アデリーペンギン,ドリーム島,40.7,17.0,190,3725,オス,2009
アデリーペンギン,ドリーム島,37.3,16.8,192,3000,メス,2009
アデリーペンギン,ドリーム島,39.0,18.7,185,3650,オス,2009
アデリーペンギン,ドリーム島,39.2,18.6,190,4250,オス,2009
アデリーペンギン,ドリーム島,36.6,18.4,184,3475,メス,2009
アデリーペンギン,ドリーム島,36.0,17.8,195,3450,メス,2009
アデリーペンギン,ドリーム島,37.8,18.1,193,3750,オス,2009
アデリーペンギン,ドリーム島,36.0,17.1,187,3700,メス,2009
アデリーペンギン,ドリーム島,41.5,18.5,201,4000,オス,2009
ジェンツーペンギン,ビスコー島,46.1,13.2,211,4500,メス,2007
ジェンツーペンギン,ビスコー島,50.0,16.3,230,5700,オス,2007
ジェンツーペンギン,ビスコー島,48.7,14.1,210,4450,メス,2007
ジェンツーペンギン,ビスコー島,50.0,15.2,218,5700,オス,2007
ジェンツーペンギン,ビスコー島,47.6,14.5,215,5400,オス,2007
ジェンツーペンギン,ビスコー島,46.5,13.5,210,4550,メス,2007
ジェンツーペンギン,ビスコー島,45.4,14.6,211,4800,メス,2007
ジェンツーペンギン,ビスコー島,46.7,15.3,219,5200,オス,2007
ジェンツーペンギン,ビスコー島,43.3,13.4,209,4400,メス,2007
ジェンツーペンギン,ビスコー島,46.8,15.4,215,5150,オス,2007
ジェンツーペンギン,ビスコー島,40.9,13.7,214,4650,メス,2007
ジェンツーペンギン,ビスコー島,49.0,16.1,216,5550,オス,2007
ジェンツーペンギン,ビスコー島,45.5,13.7,214,4650,メス,2007
ジェンツーペンギン,ビスコー島,48.4,14.6,213,5850,オス,2007
ジェンツーペンギン,ビスコー島,45.8,14.6,210,4200,メス,2007
ジェンツーペンギン,ビスコー島,49.3,15.7,217,5850,オス,2007
ジェンツーペンギン,ビスコー島,42.0,13.5,210,4150,メス,2007
ジェンツーペンギン,ビスコー島,49.2,15.2,221,6300,オス,2007
ジェンツーペンギン,ビスコー島,46.2,14.5,209,4800,メス,2007
ジェンツーペンギン,ビスコー島,48.7,15.1,222,5350,オス,2007
ジェンツーペンギン,ビスコー島,50.2,14.3,218,5700,オス,2007
ジェンツーペンギン,ビスコー島,45.1,14.5,215,5000,メス,2007
ジェンツーペンギン,ビスコー島,46.5,14.5,213,4400,メス,2007
ジェンツーペンギン,ビスコー島,46.3,15.8,215,5050,オス,2007
ジェンツーペンギン,ビスコー島,42.9,13.1,215,5000,メス,2007
ジェンツーペンギン,ビスコー島,46.1,15.1,215,5100,オス,2007
ジェンツーペンギン,ビスコー島,44.5,14.3,216,4100,,2007
ジェンツーペンギン,ビスコー島,47.8,15.0,215,5650,オス,2007
ジェンツーペンギン,ビスコー島,48.2,14.3,210,4600,メス,2007
ジェンツーペンギン,ビスコー島,50.0,15.3,220,5550,オス,2007
ジェンツーペンギン,ビスコー島,47.3,15.3,222,5250,オス,2007
ジェンツーペンギン,ビスコー島,42.8,14.2,209,4700,メス,2007
ジェンツーペンギン,ビスコー島,45.1,14.5,207,5050,メス,2007
ジェンツーペンギン,ビスコー島,59.6,17.0,230,6050,オス,2007
ジェンツーペンギン,ビスコー島,49.1,14.8,220,5150,メス,2008
ジェンツーペンギン,ビスコー島,48.4,16.3,220,5400,オス,2008
ジェンツーペンギン,ビスコー島,42.6,13.7,213,4950,メス,2008
ジェンツーペンギン,ビスコー島,44.4,17.3,219,5250,オス,2008
ジェンツーペンギン,ビスコー島,44.0,13.6,208,4350,メス,2008
ジェンツーペンギン,ビスコー島,48.7,15.7,208,5350,オス,2008
ジェンツーペンギン,ビスコー島,42.7,13.7,208,3950,メス,2008
ジェンツーペンギン,ビスコー島,49.6,16.0,225,5700,オス,2008
ジェンツーペンギン,ビスコー島,45.3,13.7,210,4300,メス,2008
ジェンツーペンギン,ビスコー島,49.6,15.0,216,4750,オス,2008
ジェンツーペンギン,ビスコー島,50.5,15.9,222,5550,オス,2008
ジェンツーペンギン,ビスコー島,43.6,13.9,217,4900,メス,2008
ジェンツーペンギン,ビスコー島,45.5,13.9,210,4200,メス,2008
ジェンツーペンギン,ビスコー島,50.5,15.9,225,5400,オス,2008
ジェンツーペンギン,ビスコー島,44.9,13.3,213,5100,メス,2008
ジェンツーペンギン,ビスコー島,45.2,15.8,215,5300,オス,2008
ジェンツーペンギン,ビスコー島,46.6,14.2,210,4850,メス,2008
ジェンツーペンギン,ビスコー島,48.5,14.1,220,5300,オス,2008
ジェンツーペンギン,ビスコー島,45.1,14.4,210,4400,メス,2008
ジェンツーペンギン,ビスコー島,50.1,15.0,225,5000,オス,2008
ジェンツーペンギン,ビスコー島,46.5,14.4,217,4900,メス,2008
ジェンツーペンギン,ビスコー島,45.0,15.4,220,5050,オス,2008
ジェンツーペンギン,ビスコー島,43.8,13.9,208,4300,メス,2008
ジェンツーペンギン,ビスコー島,45.5,15.0,220,5000,オス,2008
ジェンツーペンギン,ビスコー島,43.2,14.5,208,4450,メス,2008
ジェンツーペンギン,ビスコー島,50.4,15.3,224,5550,オス,2008
ジェンツーペンギン,ビスコー島,45.3,13.8,208,4200,メス,2008
ジェンツーペンギン,ビスコー島,46.2,14.9,221,5300,オス,2008
ジェンツーペンギン,ビスコー島,45.7,13.9,214,4400,メス,2008
ジェンツーペンギン,ビスコー島,54.3,15.7,231,5650,オス,2008
ジェンツーペンギン,ビスコー島,45.8,14.2,219,4700,メス,2008
ジェンツーペンギン,ビスコー島,49.8,16.8,230,5700,オス,2008
ジェンツーペンギン,ビスコー島,46.2,14.4,214,4650,,2008
ジェンツーペンギン,ビスコー島,49.5,16.2,229,5800,オス,2008
ジェンツーペンギン,ビスコー島,43.5,14.2,220,4700,メス,2008
ジェンツーペンギン,ビスコー島,50.7,15.0,223,5550,オス,2008
ジェンツーペンギン,ビスコー島,47.7,15.0,216,4750,メス,2008
ジェンツーペンギン,ビスコー島,46.4,15.6,221,5000,オス,2008
ジェンツーペンギン,ビスコー島,48.2,15.6,221,5100,オス,2008
ジェンツーペンギン,ビスコー島,46.5,14.8,217,5200,メス,2008
ジェンツーペンギン,ビスコー島,46.4,15.0,216,4700,メス,2008
ジェンツーペンギン,ビスコー島,48.6,16.0,230,5800,オス,2008
ジェンツーペンギン,ビスコー島,47.5,14.2,209,4600,メス,2008
ジェンツーペンギン,ビスコー島,51.1,16.3,220,6000,オス,2008
ジェンツーペンギン,ビスコー島,45.2,13.8,215,4750,メス,2008
ジェンツーペンギン,ビスコー島,45.2,16.4,223,5950,オス,2008
ジェンツーペンギン,ビスコー島,49.1,14.5,212,4625,メス,2009
ジェンツーペンギン,ビスコー島,52.5,15.6,221,5450,オス,2009
ジェンツーペンギン,ビスコー島,47.4,14.6,212,4725,メス,2009
ジェンツーペンギン,ビスコー島,50.0,15.9,224,5350,オス,2009
ジェンツーペンギン,ビスコー島,44.9,13.8,212,4750,メス,2009
ジェンツーペンギン,ビスコー島,50.8,17.3,228,5600,オス,2009
ジェンツーペンギン,ビスコー島,43.4,14.4,218,4600,メス,2009
ジェンツーペンギン,ビスコー島,51.3,14.2,218,5300,オス,2009
ジェンツーペンギン,ビスコー島,47.5,14.0,212,4875,メス,2009
ジェンツーペンギン,ビスコー島,52.1,17.0,230,5550,オス,2009
ジェンツーペンギン,ビスコー島,47.5,15.0,218,4950,メス,2009
ジェンツーペンギン,ビスコー島,52.2,17.1,228,5400,オス,2009
ジェンツーペンギン,ビスコー島,45.5,14.5,212,4750,メス,2009
ジェンツーペンギン,ビスコー島,49.5,16.1,224,5650,オス,2009
ジェンツーペンギン,ビスコー島,44.5,14.7,214,4850,メス,2009
ジェンツーペンギン,ビスコー島,50.8,15.7,226,5200,オス,2009
ジェンツーペンギン,ビスコー島,49.4,15.8,216,4925,オス,2009
ジェンツーペンギン,ビスコー島,46.9,14.6,222,4875,メス,2009
ジェンツーペンギン,ビスコー島,48.4,14.4,203,4625,メス,2009
ジェンツーペンギン,ビスコー島,51.1,16.5,225,5250,オス,2009
ジェンツーペンギン,ビスコー島,48.5,15.0,219,4850,メス,2009
ジェンツーペンギン,ビスコー島,55.9,17.0,228,5600,オス,2009
ジェンツーペンギン,ビスコー島,47.2,15.5,215,4975,メス,2009
ジェンツーペンギン,ビスコー島,49.1,15.0,228,5500,オス,2009
ジェンツーペンギン,ビスコー島,47.3,13.8,216,4725,,2009
ジェンツーペンギン,ビスコー島,46.8,16.1,215,5500,オス,2009
ジェンツーペンギン,ビスコー島,41.7,14.7,210,4700,メス,2009
ジェンツーペンギン,ビスコー島,53.4,15.8,219,5500,オス,2009
ジェンツーペンギン,ビスコー島,43.3,14.0,208,4575,メス,2009
ジェンツーペンギン,ビスコー島,48.1,15.1,209,5500,オス,2009
ジェンツーペンギン,ビスコー島,50.5,15.2,216,5000,メス,2009
ジェンツーペンギン,ビスコー島,49.8,15.9,229,5950,オス,2009
ジェンツーペンギン,ビスコー島,43.5,15.2,213,4650,メス,2009
ジェンツーペンギン,ビスコー島,51.5,16.3,230,5500,オス,2009
ジェンツーペンギン,ビスコー島,46.2,14.1,217,4375,メス,2009
ジェンツーペンギン,ビスコー島,55.1,16.0,230,5850,オス,2009
ジェンツーペンギン,ビスコー島,44.5,15.7,217,4875,,2009
ジェンツーペンギン,ビスコー島,48.8,16.2,222,6000,オス,2009
ジェンツーペンギン,ビスコー島,47.2,13.7,214,4925,メス,2009
ジェンツーペンギン,ビスコー島,,,,,,2009
ジェンツーペンギン,ビスコー島,46.8,14.3,215,4850,メス,2009
ジェンツーペンギン,ビスコー島,50.4,15.7,222,5750,オス,2009
ジェンツーペンギン,ビスコー島,45.2,14.8,212,5200,メス,2009
ジェンツーペンギン,ビスコー島,49.9,16.1,213,5400,オス,2009
ヒゲペンギン,ドリーム島,46.5,17.9,192,3500,メス,2007
ヒゲペンギン,ドリーム島,50.0,19.5,196,3900,オス,2007
ヒゲペンギン,ドリーム島,51.3,19.2,193,3650,オス,2007
ヒゲペンギン,ドリーム島,45.4,18.7,188,3525,メス,2007
ヒゲペンギン,ドリーム島,52.7,19.8,197,3725,オス,2007
ヒゲペンギン,ドリーム島,45.2,17.8,198,3950,メス,2007
ヒゲペンギン,ドリーム島,46.1,18.2,178,3250,メス,2007
ヒゲペンギン,ドリーム島,51.3,18.2,197,3750,オス,2007
ヒゲペンギン,ドリーム島,46.0,18.9,195,4150,メス,2007
ヒゲペンギン,ドリーム島,51.3,19.9,198,3700,オス,2007
ヒゲペンギン,ドリーム島,46.6,17.8,193,3800,メス,2007
ヒゲペンギン,ドリーム島,51.7,20.3,194,3775,オス,2007
ヒゲペンギン,ドリーム島,47.0,17.3,185,3700,メス,2007
ヒゲペンギン,ドリーム島,52.0,18.1,201,4050,オス,2007
ヒゲペンギン,ドリーム島,45.9,17.1,190,3575,メス,2007
ヒゲペンギン,ドリーム島,50.5,19.6,201,4050,オス,2007
ヒゲペンギン,ドリーム島,50.3,20.0,197,3300,オス,2007
ヒゲペンギン,ドリーム島,58.0,17.8,181,3700,メス,2007
ヒゲペンギン,ドリーム島,46.4,18.6,190,3450,メス,2007
ヒゲペンギン,ドリーム島,49.2,18.2,195,4400,オス,2007
ヒゲペンギン,ドリーム島,42.4,17.3,181,3600,メス,2007
ヒゲペンギン,ドリーム島,48.5,17.5,191,3400,オス,2007
ヒゲペンギン,ドリーム島,43.2,16.6,187,2900,メス,2007
ヒゲペンギン,ドリーム島,50.6,19.4,193,3800,オス,2007
ヒゲペンギン,ドリーム島,46.7,17.9,195,3300,メス,2007
ヒゲペンギン,ドリーム島,52.0,19.0,197,4150,オス,2007
ヒゲペンギン,ドリーム島,50.5,18.4,200,3400,メス,2008
ヒゲペンギン,ドリーム島,49.5,19.0,200,3800,オス,2008
ヒゲペンギン,ドリーム島,46.4,17.8,191,3700,メス,2008
ヒゲペンギン,ドリーム島,52.8,20.0,205,4550,オス,2008
ヒゲペンギン,ドリーム島,40.9,16.6,187,3200,メス,2008
ヒゲペンギン,ドリーム島,54.2,20.8,201,4300,オス,2008
ヒゲペンギン,ドリーム島,42.5,16.7,187,3350,メス,2008
ヒゲペンギン,ドリーム島,51.0,18.8,203,4100,オス,2008
ヒゲペンギン,ドリーム島,49.7,18.6,195,3600,オス,2008
ヒゲペンギン,ドリーム島,47.5,16.8,199,3900,メス,2008
ヒゲペンギン,ドリーム島,47.6,18.3,195,3850,メス,2008
ヒゲペンギン,ドリーム島,52.0,20.7,210,4800,オス,2008
ヒゲペンギン,ドリーム島,46.9,16.6,192,2700,メス,2008
ヒゲペンギン,ドリーム島,53.5,19.9,205,4500,オス,2008
ヒゲペンギン,ドリーム島,49.0,19.5,210,3950,オス,2008
ヒゲペンギン,ドリーム島,46.2,17.5,187,3650,メス,2008
ヒゲペンギン,ドリーム島,50.9,19.1,196,3550,オス,2008
ヒゲペンギン,ドリーム島,45.5,17.0,196,3500,メス,2008
ヒゲペンギン,ドリーム島,50.9,17.9,196,3675,メス,2009
ヒゲペンギン,ドリーム島,50.8,18.5,201,4450,オス,2009
ヒゲペンギン,ドリーム島,50.1,17.9,190,3400,メス,2009
ヒゲペンギン,ドリーム島,49.0,19.6,212,4300,オス,2009
ヒゲペンギン,ドリーム島,51.5,18.7,187,3250,オス,2009
ヒゲペンギン,ドリーム島,49.8,17.3,198,3675,メス,2009
ヒゲペンギン,ドリーム島,48.1,16.4,199,3325,メス,2009
ヒゲペンギン,ドリーム島,51.4,19.0,201,3950,オス,2009
ヒゲペンギン,ドリーム島,45.7,17.3,193,3600,メス,2009
ヒゲペンギン,ドリーム島,50.7,19.7,203,4050,オス,2009
ヒゲペンギン,ドリーム島,42.5,17.3,187,3350,メス,2009
ヒゲペンギン,ドリーム島,52.2,18.8,197,3450,オス,2009
ヒゲペンギン,ドリーム島,45.2,16.6,191,3250,メス,2009
ヒゲペンギン,ドリーム島,49.3,19.9,203,4050,オス,2009
ヒゲペンギン,ドリーム島,50.2,18.8,202,3800,オス,2009
ヒゲペンギン,ドリーム島,45.6,19.4,194,3525,メス,2009
ヒゲペンギン,ドリーム島,51.9,19.5,206,3950,オス,2009
ヒゲペンギン,ドリーム島,46.8,16.5,189,3650,メス,2009
ヒゲペンギン,ドリーム島,45.7,17.0,195,3650,メス,2009
ヒゲペンギン,ドリーム島,55.8,19.8,207,4000,オス,2009
ヒゲペンギン,ドリーム島,43.5,18.1,202,3400,メス,2009
ヒゲペンギン,ドリーム島,49.6,18.2,193,3775,オス,2009
ヒゲペンギン,ドリーム島,50.8,19.0,210,4100,オス,2009
ヒゲペンギン,ドリーム島,50.2,18.7,198,3775,メス,2009
