しゅるい,くちばしの長さ(mm),くちばしの深さ(mm)
アデリーペンギン,33.5,19.0
アデリーペンギン,39.7,18.4
アデリーペンギン,39.6,17.2
アデリーペンギン,45.8,18.9
アデリーペンギン,35.5,17.5
アデリーペンギン,42.8,18.5
アデリーペンギン,40.9,16.8
アデリーペンギン,37.2,19.4
アデリーペンギン,36.2,16.1
アデリーペンギン,42.1,19.1
アデリーペンギン,34.6,17.2
アデリーペンギン,42.9,17.6
アデリーペンギン,36.7,18.8
アデリーペンギン,35.1,19.4
アデリーペンギン,37.3,17.8
アデリーペンギン,41.3,20.3
アデリーペンギン,36.3,19.5
アデリーペンギン,36.9,18.6
アデリーペンギン,38.3,19.2
アデリーペンギン,38.9,18.8
アデリーペンギン,35.7,18.0
アデリーペンギン,41.1,18.1
アデリーペンギン,34.0,17.1
アデリーペンギン,39.6,18.1
アデリーペンギン,36.2,17.3
アデリーペンギン,40.8,18.9
アデリーペンギン,38.1,18.6
アデリーペンギン,40.3,18.5
アデリーペンギン,33.1,16.1
アデリーペンギン,43.2,18.5
アデリーペンギン,35.0,17.9
アデリーペンギン,41.0,20.0
アデリーペンギン,37.7,16.0
アデリーペンギン,37.8,20.0
アデリーペンギン,37.9,18.6
アデリーペンギン,39.7,18.9
アデリーペンギン,38.6,17.2
アデリーペンギン,38.2,20.0
アデリーペンギン,38.1,17.0
アデリーペンギン,43.2,19.0
アデリーペンギン,38.1,16.5
アデリーペンギン,45.6,20.3
アデリーペンギン,39.7,17.7
アデリーペンギン,42.2,19.5
アデリーペンギン,39.6,20.7
アデリーペンギン,42.7,18.3
アデリーペンギン,38.6,17.0
アデリーペンギン,37.3,20.5
アデリーペンギン,35.7,17.0
アデリーペンギン,41.1,18.6
アデリーペンギン,36.2,17.2
アデリーペンギン,37.7,19.8
アデリーペンギン,40.2,17.0
アデリーペンギン,41.4,18.5
アデリーペンギン,35.2,15.9
アデリーペンギン,40.6,19.0
アデリーペンギン,38.8,17.6
アデリーペンギン,41.5,18.3
アデリーペンギン,39.0,17.1
アデリーペンギン,44.1,18.0
アデリーペンギン,38.5,17.9
アデリーペンギン,43.1,19.2
アデリーペンギン,36.8,18.5
アデリーペンギン,37.5,18.5
アデリーペンギン,38.1,17.6
アデリーペンギン,41.1,17.5
アデリーペンギン,35.6,17.5
アデリーペンギン,40.2,20.1
アデリーペンギン,37.0,16.5
アデリーペンギン,39.7,17.9
アデリーペンギン,40.2,17.1
アデリーペンギン,40.6,17.2
アデリーペンギン,32.1,15.5
アデリーペンギン,40.7,17.0
アデリーペンギン,37.3,16.8
アデリーペンギン,39.0,18.7
アデリーペンギン,39.2,18.6
アデリーペンギン,36.6,18.4
アデリーペンギン,36.0,17.8
アデリーペンギン,37.8,18.1
アデリーペンギン,36.0,17.1
アデリーペンギン,41.5,18.5
ジェンツーペンギン,46.1,13.2
ジェンツーペンギン,50.0,16.3
ジェンツーペンギン,48.7,14.1
ジェンツーペンギン,50.0,15.2
ジェンツーペンギン,47.6,14.5
ジェンツーペンギン,46.5,13.5
ジェンツーペンギン,45.4,14.6
ジェンツーペンギン,46.7,15.3
ジェンツーペンギン,43.3,13.4
ジェンツーペンギン,46.8,15.4
ジェンツーペンギン,40.9,13.7
ジェンツーペンギン,49.0,16.1
ジェンツーペンギン,45.5,13.7
ジェンツーペンギン,48.4,14.6
ジェンツーペンギン,45.8,14.6
ジェンツーペンギン,49.3,15.7
ジェンツーペンギン,42.0,13.5
ジェンツーペンギン,49.2,15.2
ジェンツーペンギン,46.2,14.5
ジェンツーペンギン,48.7,15.1
ジェンツーペンギン,50.2,14.3
ジェンツーペンギン,45.1,14.5
ジェンツーペンギン,46.5,14.5
ジェンツーペンギン,46.3,15.8
ジェンツーペンギン,42.9,13.1
ジェンツーペンギン,46.1,15.1
ジェンツーペンギン,44.5,14.3
ジェンツーペンギン,47.8,15.0
ジェンツーペンギン,48.2,14.3
ジェンツーペンギン,50.0,15.3
ジェンツーペンギン,47.3,15.3
ジェンツーペンギン,42.8,14.2
ジェンツーペンギン,45.1,14.5
ジェンツーペンギン,59.6,17.0
ジェンツーペンギン,49.1,14.8
ジェンツーペンギン,48.4,16.3
ジェンツーペンギン,42.6,13.7
ジェンツーペンギン,44.4,17.3
ジェンツーペンギン,44.0,13.6
ジェンツーペンギン,48.7,15.7
ジェンツーペンギン,42.7,13.7
ジェンツーペンギン,49.6,16.0
ジェンツーペンギン,45.3,13.7
ジェンツーペンギン,49.6,15.0
ジェンツーペンギン,50.5,15.9
ジェンツーペンギン,43.6,13.9
ジェンツーペンギン,45.5,13.9
ジェンツーペンギン,50.5,15.9
ジェンツーペンギン,44.9,13.3
ジェンツーペンギン,45.2,15.8
ジェンツーペンギン,46.6,14.2
ジェンツーペンギン,48.5,14.1
ジェンツーペンギン,45.1,14.4
ジェンツーペンギン,50.1,15.0
ジェンツーペンギン,46.5,14.4
ジェンツーペンギン,45.0,15.4
ジェンツーペンギン,43.8,13.9
ジェンツーペンギン,45.5,15.0
ジェンツーペンギン,43.2,14.5
ジェンツーペンギン,50.4,15.3
ジェンツーペンギン,45.3,13.8
ジェンツーペンギン,46.2,14.9
ジェンツーペンギン,45.7,13.9
ジェンツーペンギン,54.3,15.7
ジェンツーペンギン,45.8,14.2
ジェンツーペンギン,49.8,16.8
ジェンツーペンギン,46.2,14.4
ジェンツーペンギン,49.5,16.2
ジェンツーペンギン,43.5,14.2
ジェンツーペンギン,50.7,15.0
ジェンツーペンギン,47.7,15.0
ジェンツーペンギン,46.4,15.6
ジェンツーペンギン,48.2,15.6
ジェンツーペンギン,46.5,14.8
ジェンツーペンギン,46.4,15.0
ジェンツーペンギン,48.6,16.0
ジェンツーペンギン,47.5,14.2
ジェンツーペンギン,51.1,16.3
ジェンツーペンギン,45.2,13.8
ジェンツーペンギン,45.2,16.4
ジェンツーペンギン,49.1,14.5
ジェンツーペンギン,52.5,15.6
ジェンツーペンギン,47.4,14.6
ジェンツーペンギン,50.0,15.9
ジェンツーペンギン,44.9,13.8
ジェンツーペンギン,50.8,17.3
ジェンツーペンギン,43.4,14.4
ジェンツーペンギン,51.3,14.2
ジェンツーペンギン,47.5,14.0
ジェンツーペンギン,52.1,17.0
ジェンツーペンギン,47.5,15.0
ジェンツーペンギン,52.2,17.1
ジェンツーペンギン,45.5,14.5
ジェンツーペンギン,49.5,16.1
ジェンツーペンギン,44.5,14.7
ジェンツーペンギン,50.8,15.7
ジェンツーペンギン,49.4,15.8
ジェンツーペンギン,46.9,14.6
ジェンツーペンギン,48.4,14.4
ジェンツーペンギン,51.1,16.5
ジェンツーペンギン,48.5,15.0
ジェンツーペンギン,55.9,17.0
ジェンツーペンギン,47.2,15.5
ジェンツーペンギン,49.1,15.0
ジェンツーペンギン,47.3,13.8
ジェンツーペンギン,46.8,16.1
ジェンツーペンギン,41.7,14.7
ジェンツーペンギン,53.4,15.8
ジェンツーペンギン,43.3,14.0
ジェンツーペンギン,48.1,15.1
ジェンツーペンギン,50.5,15.2
ジェンツーペンギン,49.8,15.9
ジェンツーペンギン,43.5,15.2
ジェンツーペンギン,51.5,16.3
ジェンツーペンギン,46.2,14.1
ジェンツーペンギン,55.1,16.0
ジェンツーペンギン,44.5,15.7
ジェンツーペンギン,48.8,16.2
ジェンツーペンギン,47.2,13.7
ジェンツーペンギン,46.8,14.3
ジェンツーペンギン,50.4,15.7
ジェンツーペンギン,45.2,14.8
ジェンツーペンギン,49.9,16.1
ヒゲペンギン,46.5,17.9
ヒゲペンギン,50.0,19.5
ヒゲペンギン,51.3,19.2
ヒゲペンギン,45.4,18.7
ヒゲペンギン,52.7,19.8
ヒゲペンギン,45.2,17.8
ヒゲペンギン,46.1,18.2
ヒゲペンギン,51.3,18.2
ヒゲペンギン,46.0,18.9
ヒゲペンギン,51.3,19.9
ヒゲペンギン,46.6,17.8
ヒゲペンギン,51.7,20.3
ヒゲペンギン,47.0,17.3
ヒゲペンギン,52.0,18.1
ヒゲペンギン,45.9,17.1
ヒゲペンギン,50.5,19.6
ヒゲペンギン,50.3,20.0
ヒゲペンギン,58.0,17.8
ヒゲペンギン,46.4,18.6
ヒゲペンギン,49.2,18.2
ヒゲペンギン,42.4,17.3
ヒゲペンギン,48.5,17.5
ヒゲペンギン,43.2,16.6
ヒゲペンギン,50.6,19.4
ヒゲペンギン,46.7,17.9
ヒゲペンギン,52.0,19.0
ヒゲペンギン,50.5,18.4
ヒゲペンギン,49.5,19.0
ヒゲペンギン,46.4,17.8
ヒゲペンギン,52.8,20.0
ヒゲペンギン,40.9,16.6
ヒゲペンギン,54.2,20.8
ヒゲペンギン,42.5,16.7
ヒゲペンギン,51.0,18.8
ヒゲペンギン,49.7,18.6
ヒゲペンギン,47.5,16.8
ヒゲペンギン,47.6,18.3
ヒゲペンギン,52.0,20.7
ヒゲペンギン,46.9,16.6
ヒゲペンギン,53.5,19.9
ヒゲペンギン,49.0,19.5
ヒゲペンギン,46.2,17.5
ヒゲペンギン,50.9,19.1
ヒゲペンギン,45.5,17.0
ヒゲペンギン,50.9,17.9
ヒゲペンギン,50.8,18.5
ヒゲペンギン,50.1,17.9
ヒゲペンギン,49.0,19.6
ヒゲペンギン,51.5,18.7
ヒゲペンギン,49.8,17.3
ヒゲペンギン,48.1,16.4
ヒゲペンギン,51.4,19.0
ヒゲペンギン,45.7,17.3
ヒゲペンギン,50.7,19.7
ヒゲペンギン,42.5,17.3
ヒゲペンギン,52.2,18.8
ヒゲペンギン,45.2,16.6
ヒゲペンギン,49.3,19.9
ヒゲペンギン,50.2,18.8
ヒゲペンギン,45.6,19.4
ヒゲペンギン,51.9,19.5
ヒゲペンギン,46.8,16.5
ヒゲペンギン,45.7,17.0
ヒゲペンギン,55.8,19.8
ヒゲペンギン,43.5,18.1
ヒゲペンギン,49.6,18.2
ヒゲペンギン,50.8,19.0
ヒゲペンギン,50.2,18.7
