しゅるい,ひれの長さ(mm),体重(g)
アデリーペンギン,187,3425
アデリーペンギン,190,3900
アデリーペンギン,191,3175
アデリーペンギン,200,3975
アデリーペンギン,185,3400
アデリーペンギン,193,4250
アデリーペンギン,193,3400
アデリーペンギン,187,3475
アデリーペンギン,188,3050
アデリーペンギン,190,3725
アデリーペンギン,192,3000
アデリーペンギン,185,3650
アデリーペンギン,190,4250
アデリーペンギン,184,3475
アデリーペンギン,195,3450
アデリーペンギン,193,3750
アデリーペンギン,187,3700
アデリーペンギン,201,4000
ジェンツーペンギン,211,4500
ジェンツーペンギン,230,5700
ジェンツーペンギン,210,4450
ジェンツーペンギン,218,5700
ジェンツーペンギン,215,5400
ジェンツーペンギン,210,4550
ジェンツーペンギン,211,4800
ジェンツーペンギン,219,5200
ジェンツーペンギン,209,4400
ジェンツーペンギン,215,5150
ジェンツーペンギン,214,4650
ジェンツーペンギン,216,5550
ジェンツーペンギン,214,4650
ジェンツーペンギン,213,5850
ジェンツーペンギン,210,4200
ジェンツーペンギン,217,5850
ジェンツーペンギン,210,4150
ジェンツーペンギン,221,6300
ジェンツーペンギン,209,4800
ジェンツーペンギン,222,5350
ジェンツーペンギン,218,5700
ジェンツーペンギン,215,5000
ジェンツーペンギン,213,4400
ジェンツーペンギン,215,5050
ジェンツーペンギン,215,5000
ジェンツーペンギン,215,5100
ジェンツーペンギン,216,4100
ジェンツーペンギン,215,5650
ジェンツーペンギン,210,4600
ジェンツーペンギン,220,5550
ジェンツーペンギン,222,5250
ジェンツーペンギン,209,4700
ジェンツーペンギン,207,5050
ジェンツーペンギン,230,6050
ジェンツーペンギン,220,5150
ジェンツーペンギン,220,5400
ジェンツーペンギン,213,4950
ジェンツーペンギン,219,5250
ジェンツーペンギン,208,4350
ジェンツーペンギン,208,5350
ジェンツーペンギン,208,3950
ジェンツーペンギン,225,5700
ジェンツーペンギン,210,4300
ジェンツーペンギン,216,4750
ジェンツーペンギン,222,5550
ジェンツーペンギン,217,4900
ジェンツーペンギン,210,4200
ジェンツーペンギン,225,5400
ジェンツーペンギン,213,5100
ジェンツーペンギン,215,5300
ジェンツーペンギン,210,4850
ジェンツーペンギン,220,5300
ジェンツーペンギン,210,4400
ジェンツーペンギン,225,5000
ジェンツーペンギン,217,4900
ジェンツーペンギン,220,5050
ジェンツーペンギン,208,4300
ジェンツーペンギン,220,5000
ジェンツーペンギン,208,4450
ジェンツーペンギン,224,5550
ジェンツーペンギン,208,4200
ジェンツーペンギン,221,5300
ジェンツーペンギン,214,4400
ジェンツーペンギン,231,5650
ジェンツーペンギン,219,4700
ジェンツーペンギン,230,5700
ジェンツーペンギン,214,4650
ジェンツーペンギン,229,5800
ジェンツーペンギン,220,4700
ジェンツーペンギン,223,5550
ジェンツーペンギン,216,4750
ジェンツーペンギン,221,5000
ジェンツーペンギン,221,5100
ジェンツーペンギン,217,5200
ジェンツーペンギン,216,4700
ジェンツーペンギン,230,5800
ジェンツーペンギン,209,4600
ジェンツーペンギン,220,6000
ジェンツーペンギン,215,4750
ジェンツーペンギン,223,5950
ジェンツーペンギン,212,4625
ジェンツーペンギン,221,5450
ジェンツーペンギン,212,4725
ジェンツーペンギン,224,5350
ジェンツーペンギン,212,4750
ジェンツーペンギン,228,5600
ジェンツーペンギン,218,4600
ジェンツーペンギン,218,5300
ジェンツーペンギン,212,4875
ジェンツーペンギン,230,5550
ジェンツーペンギン,218,4950
ジェンツーペンギン,228,5400
ジェンツーペンギン,212,4750
ジェンツーペンギン,224,5650
ジェンツーペンギン,214,4850
ジェンツーペンギン,226,5200
ジェンツーペンギン,216,4925
ジェンツーペンギン,222,4875
ジェンツーペンギン,203,4625
ジェンツーペンギン,225,5250
ジェンツーペンギン,219,4850
ジェンツーペンギン,228,5600
ジェンツーペンギン,215,4975
ジェンツーペンギン,228,5500
ジェンツーペンギン,216,4725
ジェンツーペンギン,215,5500
ジェンツーペンギン,210,4700
ジェンツーペンギン,219,5500
ジェンツーペンギン,208,4575
ジェンツーペンギン,209,5500
ジェンツーペンギン,216,5000
ジェンツーペンギン,229,5950
ジェンツーペンギン,213,4650
ジェンツーペンギン,230,5500
ジェンツーペンギン,217,4375
ジェンツーペンギン,230,5850
ジェンツーペンギン,217,4875
ジェンツーペンギン,222,6000
ジェンツーペンギン,214,4925
ジェンツーペンギン,215,4850
ジェンツーペンギン,222,5750
ジェンツーペンギン,212,5200
ジェンツーペンギン,213,5400
ヒゲペンギン,192,3500
ヒゲペンギン,196,3900
ヒゲペンギン,193,3650
ヒゲペンギン,188,3525
ヒゲペンギン,197,3725
ヒゲペンギン,198,3950
ヒゲペンギン,178,3250
ヒゲペンギン,197,3750
ヒゲペンギン,195,4150
ヒゲペンギン,198,3700
ヒゲペンギン,193,3800
ヒゲペンギン,194,3775
ヒゲペンギン,185,3700
ヒゲペンギン,201,4050
ヒゲペンギン,190,3575
ヒゲペンギン,201,4050
ヒゲペンギン,197,3300
ヒゲペンギン,181,3700
ヒゲペンギン,190,3450
ヒゲペンギン,195,4400
ヒゲペンギン,181,3600
ヒゲペンギン,191,3400
ヒゲペンギン,187,2900
ヒゲペンギン,193,3800
ヒゲペンギン,195,3300
ヒゲペンギン,197,4150
ヒゲペンギン,200,3400
ヒゲペンギン,200,3800
ヒゲペンギン,191,3700
ヒゲペンギン,205,4550
ヒゲペンギン,187,3200
ヒゲペンギン,201,4300
ヒゲペンギン,187,3350
ヒゲペンギン,203,4100
ヒゲペンギン,195,3600
ヒゲペンギン,199,3900
ヒゲペンギン,195,3850
ヒゲペンギン,210,4800
ヒゲペンギン,192,2700
ヒゲペンギン,205,4500
ヒゲペンギン,210,3950
ヒゲペンギン,187,3650
ヒゲペンギン,196,3550
ヒゲペンギン,196,3500
ヒゲペンギン,196,3675
ヒゲペンギン,201,4450
ヒゲペンギン,190,3400
ヒゲペンギン,212,4300
ヒゲペンギン,187,3250
ヒゲペンギン,198,3675
ヒゲペンギン,199,3325
ヒゲペンギン,201,3950
ヒゲペンギン,193,3600
ヒゲペンギン,203,4050
ヒゲペンギン,187,3350
ヒゲペンギン,197,3450
ヒゲペンギン,191,3250
ヒゲペンギン,203,4050
ヒゲペンギン,202,3800
ヒゲペンギン,194,3525
ヒゲペンギン,206,3950
ヒゲペンギン,189,3650
ヒゲペンギン,195,3650
ヒゲペンギン,207,4000
ヒゲペンギン,202,3400
ヒゲペンギン,193,3775
ヒゲペンギン,210,4100
ヒゲペンギン,198,3775
